container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
5317124416,id,__AS__,DICT_ITEM,5317391840,"str, int",3,5317598208[id] = 3,83,71,
5317124416,type,__AS__,DICT_ITEM,5317387856,"str, str",AUDIO,5317598208[type] = AUDIO,83,71,
4562293008,list,__FC__,FUNCTION_CALL,5317393136,list,5317754688,list,83,72,<listcomp>@132
5318114464,_value_,__AS__,DICT_ITEM,5317379696,"str, int",0,5317981888[_value_] = 0,83,72,
5318114464,_name_,__AS__,DICT_ITEM,5317390304,"str, str",TEXT,5317981888[_name_] = TEXT,83,72,
5318114464,__objclass__,__AS__,DICT_ITEM,5317391888,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,72,
5318110432,_value_,__AS__,DICT_ITEM,5317130176,"str, int",1,5317979392[_value_] = 1,83,72,
5318110432,_name_,__AS__,DICT_ITEM,5317118944,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,72,
5318110432,__objclass__,__AS__,DICT_ITEM,5317388912,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,72,
5318109232,_value_,__AS__,DICT_ITEM,5317384496,"str, int",2,5317981120[_value_] = 2,83,72,
5318109232,_name_,__AS__,DICT_ITEM,5317388624,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,72,
5318109232,__objclass__,__AS__,DICT_ITEM,5317391552,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,72,
5318108656,_value_,__AS__,DICT_ITEM,5317385600,"str, int",3,5317981952[_value_] = 3,83,72,
5318108656,_name_,__AS__,DICT_ITEM,5317381808,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,72,
5318108656,__objclass__,__AS__,DICT_ITEM,5318330160,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,72,
5317754688,0,__AS__,LIST_ITEM,5317389488,Type,5318114464,<class 'list'>[0],83,72,
5317754688,1,__AS__,LIST_ITEM,5317123888,Type,5318110432,<class 'list'>[1],83,72,
5317754688,2,__AS__,LIST_ITEM,5317382816,Type,5318109232,<class 'list'>[2],83,72,
5317754688,3,__AS__,LIST_ITEM,5317390928,Type,5318108656,<class 'list'>[3],83,72,
5313230496,__init__,__DEF__,VAR,5318329344,function,__init__,__init__,15,73,
1337,self,__PIS__,VAR,5317378976,Job,5317391696,self,15,74,
5313230496,self,__AS__,VAR,5317379648,Job,5317391696,self,15,75,
5313230496,id,__AS__,VAR,5317391264,int,4,id,15,75,
5313230496,_type,__AS__,VAR,5317392032,Type,5318109232,_type,15,75,
5317391696,id,__AS__,OBJ_ITEM,5317382960,int,4,self.id,16,76,
5317391696,type,__AS__,OBJ_ITEM,5318101168,str,AUDIO,self.type,17,77,
5313230496,__init__,__UNDEF__,VAR,5317377472,function,__init__,__init__,17,78,
4562293008,Job,__FC__,FUNCTION_CALL,5317949808,Job,5317391696,Job,83,79,<listcomp>@132
5317391696,id,__AS__,DICT_ITEM,5317935456,"str, int",4,5317657408[id] = 4,83,79,
5317391696,type,__AS__,DICT_ITEM,5317383824,"str, str",AUDIO,5317657408[type] = AUDIO,83,79,
4562293008,list,__FC__,FUNCTION_CALL,5317390784,list,5317657152,list,83,80,<listcomp>@132
5318114464,_value_,__AS__,DICT_ITEM,5317951392,"str, int",0,5317981888[_value_] = 0,83,80,
5318114464,_name_,__AS__,DICT_ITEM,5317942992,"str, str",TEXT,5317981888[_name_] = TEXT,83,80,
5318114464,__objclass__,__AS__,DICT_ITEM,5317936848,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,80,
5318110432,_value_,__AS__,DICT_ITEM,5317948032,"str, int",1,5317979392[_value_] = 1,83,80,
5318110432,_name_,__AS__,DICT_ITEM,5317936992,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,80,
5318110432,__objclass__,__AS__,DICT_ITEM,5317944384,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,80,
5318109232,_value_,__AS__,DICT_ITEM,5317365424,"str, int",2,5317981120[_value_] = 2,83,80,
5318109232,_name_,__AS__,DICT_ITEM,5317938576,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,80,
5318109232,__objclass__,__AS__,DICT_ITEM,5317946592,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,80,
5318108656,_value_,__AS__,DICT_ITEM,5317121008,"str, int",3,5317981952[_value_] = 3,83,80,
5318108656,_name_,__AS__,DICT_ITEM,5317120816,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,80,
5318108656,__objclass__,__AS__,DICT_ITEM,5317130752,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,80,
5317657152,0,__AS__,LIST_ITEM,5317386224,Type,5318114464,<class 'list'>[0],83,80,
5317657152,1,__AS__,LIST_ITEM,5317949376,Type,5318110432,<class 'list'>[1],83,80,
5317657152,2,__AS__,LIST_ITEM,5317377424,Type,5318109232,<class 'list'>[2],83,80,
5317657152,3,__AS__,LIST_ITEM,5317947888,Type,5318108656,<class 'list'>[3],83,80,
5313230496,__init__,__DEF__,VAR,5317129168,function,__init__,__init__,15,81,
1337,self,__PIS__,VAR,5317121104,Job,5317125856,self,15,82,
